30,520,270,400,140,1,100,1,1040,0,0,0,0,0,0,0,0,0,0,0,0,1
31,323,100,300,-100,1,100,1,646,0,0,0,0,0,0,0,0,0,0,0,0,1
32,362.5,225,300,150,1,100,1,725,0,0,0,0,0,0,0,0,0,0,0,0,1
33,326,125,250,0,1,100,1,652,0,0,0,0,0,0,0,0,0,0,0,0,1
34,254,83.5,167,0,1,100,1,508,0,0,0,0,0,0,0,0,0,0,0,0,1
35,343.5,100,300,-100,1,100,1,687,0,0,0,0,0,0,0,0,0,0,0,0,1
36,290,120,240,0,1,100,1,580,0,0,0,0,0,0,0,0,0,0,0,0,1
37,282,125,250,0,1,100,1,564,0,0,0,0,0,0,0,0,0,0,0,0,1
38,432.5,75,300,-150,1,100,1,865,0,0,0,0,0,0,0,0,0,0,0,0,1
39,550,100,300,-100,1,100,1,1100,0,0,0,0,0,0,0,0,0,0,0,0,1
