1,2,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
2,9,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
3,10,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
4,18,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
5,26,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
6,29,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
7,24,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
8,14,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
9,23,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
10,13,1,1,1,-60,-40,1,0.0015,0.1121,0.0887,0.0001,0.16428,345,1.1,0.9,1.1,1,1.1033,0.887,2.885,2.885,0.005,-58.6274,1.0079,0
